"","x"
"1996-01-09",-591600
"1996-01-11",-1452208.8
"1996-01-19",-337080
"1996-01-23",1226751.2024
"1996-01-29",-897825.010600017
"1996-01-31",627411.26726073
"1996-02-01",-754549.999999999
"1996-02-05",185245.000000001
"1996-02-07",-612000.000000006
"1996-02-09",549179.999999997
"1996-02-14",-315500.000000001
"1996-02-19",-801866.643895153
"1996-02-20",-438832.500000012
"1996-02-21",-230207.2578
"1996-02-22",-468720
"1996-02-26",-784932.5
"1996-03-11",-276342.914837416
"1996-04-16",880584.400000001
"1996-04-26",-1030301.91900084
"1996-04-30",5458910
"1996-05-02",308718.03375
"1996-05-03",-541602.483052711
"1996-05-07",-390669.256800001
"1996-05-08",-354194.999999996
"1996-05-16",1404480
"1996-05-17",-1808115
"1996-05-20",-368399.999999999
"1996-05-29",-190050
"1996-06-06",101645.180203135
"1996-06-11",-762120
"1996-06-27",134294.999999999
"1996-07-01",-687599.999999999
"1996-07-05",-257062.499999999
"1996-07-08",-600410.4808
"1996-07-11",1484190
"1996-07-15",405405.000000001
"1996-07-16",-601580.000000012
"1996-07-17",125812.5
"1996-07-18",-558960
"1996-07-31",477839.999999998
"1996-08-01",-1280366.10341622
"1996-08-05",111519.999999999
"1996-08-06",-399959.999999998
"1996-08-12",-617555
"1996-08-13",1206200
"1996-08-19",272800
"1996-08-22",-483240.695175
"1996-09-04",-21461.2697392452
"1996-09-06",-596347.500000001
"1996-09-11",1093542
"1996-09-13",-741091.285
"1996-09-17",-701099.999999999
"1996-09-18",-180735.970128571
"1996-09-27",-722999.999999997
"1996-09-30",-679900
"1996-10-08",-186202.5
"1996-10-16",193154.555999977
"1996-10-22",-4.23460733145475e-09
"1996-10-30",-248909.499433984
"1996-10-31",1418840
"1996-11-01",151528.988387578
"1996-11-07",827260
"1996-11-11",85950
"1996-11-13",452610.000000002
"1996-11-15",123845.000000001
"1996-11-18",-507255.000000009
"1996-11-19",-272916
"1996-11-25",1062165
"1996-12-03",1563440
"1996-12-05",-466620
"1996-12-06",-374101.477455187
"1996-12-09",571688.086008397
"1996-12-11",1339882.15
"1996-12-12",832867.5
"1996-12-27",-1173640
"1997-01-02",46709.9999999823
"1997-01-07",-35657.5
"1997-01-10",-306194.999999997
"1997-01-14",-735020
"1997-01-15",1251045.00269503
"1997-01-24",-1553441.6
"1997-01-29",-58598.1948307154
"1997-01-30",-585360
