,cum_pnl,max_pnl,drawdown
7/20/2000,159355099.2,166415222.9,7060123.737
7/21/2000,159918818.6,166415222.9,6496404.28
8/3/2000,161206518.6,166415222.9,5208704.28
8/7/2000,160928347.6,166415222.9,5486875.299
8/15/2000,160414486.3,166415222.9,6000736.634
8/16/2000,159491002.5,166415222.9,6924220.434
8/22/2000,159158288.1,166415222.9,7256934.8
8/24/2000,159303083.1,166415222.9,7112139.8
8/28/2000,160222603.1,166415222.9,6192619.8
8/29/2000,160891483.1,166415222.9,5523739.8
8/31/2000,159743419.6,166415222.9,6671803.301
9/1/2000,159381580.5,166415222.9,7033642.42
9/11/2000,158845360.5,166415222.9,7569862.42
9/12/2000,158732865.6,166415222.9,7682357.263
9/13/2000,158673155,166415222.9,7742067.945
9/15/2000,160279201,166415222.9,6136021.945
9/21/2000,160876136,166415222.9,5539086.945
9/22/2000,162167319.8,166415222.9,4247903.145
9/25/2000,162434839.8,166415222.9,3980383.145
9/27/2000,162251799.8,166415222.9,4163423.145
9/29/2000,163225494.8,166415222.9,3189728.145
10/2/2000,163404854.8,166415222.9,3010368.145
10/9/2000,162473714.8,166415222.9,3941508.145
10/10/2000,162350348,166415222.9,4064874.862
10/16/2000,161674017.6,166415222.9,4741205.262
10/19/2000,160650935.1,166415222.9,5764287.762
10/20/2000,160465195.1,166415222.9,5950027.762
10/23/2000,160725565.1,166415222.9,5689657.762
10/24/2000,160236501.7,166415222.9,6178721.223
10/27/2000,160494076.5,166415222.9,5921146.411
10/31/2000,161108598.7,166415222.9,5306624.224
11/1/2000,160111338.3,166415222.9,6303884.57
11/3/2000,159518740.8,166415222.9,6896482.07
11/6/2000,159552298.7,166415222.9,6862924.187
11/8/2000,158940954.6,166415222.9,7474268.273
11/17/2000,158701573.6,166415222.9,7713649.273
11/20/2000,158255323.6,166415222.9,8159899.273
11/29/2000,157558433.6,166415222.9,8856789.273
12/1/2000,157384453.8,166415222.9,9030769.054
12/4/2000,156856768.8,166415222.9,9558454.054
12/6/2000,156811426.2,166415222.9,9603796.704
12/12/2000,157902946.2,166415222.9,8512276.704
12/13/2000,160189146.2,166415222.9,6226076.704
12/15/2000,163128318.7,166415222.9,3286904.174
12/28/2000,165871518.7,166415222.9,543704.1738
12/29/2000,165309193.7,166415222.9,1106029.174
1/3/2001,164916273.7,166415222.9,1498949.174
1/4/2001,164314753.7,166415222.9,2100469.174
1/10/2001,171162132,171162132,0
1/12/2001,171911395.7,171911395.7,0
1/16/2001,171701100.7,171911395.7,210295
1/17/2001,172587480.7,172587480.7,0
1/18/2001,172207020.7,172587480.7,380460
1/22/2001,173419796.5,173419796.5,0
1/23/2001,173107298.9,173419796.5,312497.5499
1/24/2001,172395323.9,173419796.5,1024472.55
